page;table;row_in_table;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
2;1;46;TOULOUSE;RUE;ANDRE LEBRE;1;;9999;;PI;LGT OZENNE - TOULOUSE
2;1;47;TOULOUSE;CHEMIN;ANDRE MALRAUX;1;;9999;;PI;LGT OZENNE - TOULOUSE
2;1;48;TOULOUSE;IMPASSE;ANDRE MARESTAN;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;49;TOULOUSE;IMPASSE;ANDRE MARFAING;1;;9999;;PI;LPO BELLEVUE - TOULOUSE
2;1;50;TOULOUSE;PLACE;ANDRE MATHIEU;1;;9999;;PI;LPO DEODAT DE SEVERAC - TOULOUSE
2;1;51;TOULOUSE;RUE;ANDRE MAUROIS;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;52;TOULOUSE;RUE;ANDRE MAZANA;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;53;TOULOUSE;RUE;ANDRE MELET;1;;9999;;PI;LGT DES ARENES - TOULOUSE
2;1;54;TOULOUSE;RUE;ANDRE MERCADIER;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
2;1;55;TOULOUSE;CHEMIN;ANDRE MESSAGER;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;56;TOULOUSE;IMPASSE;ANDRE NAVARRA;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
2;1;57;TOULOUSE;BOULEVARD;ANDRE NETWILLER;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
2;1;58;TOULOUSE;IMPASSE;ANDRE REAL;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
2;1;59;TOULOUSE;PASSAGE;ANDRE RIGAUD;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
2;1;60;TOULOUSE;RUE;ANDRE SAVES;1;;9999;;PI;LGT DES ARENES - TOULOUSE
3;1;1;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
3;1;2;TOULOUSE;RUE;ANDRE THEURIET;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
3;1;3;TOULOUSE;RUE;ANDRE TURCAT;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;4;TOULOUSE;RUE;ANDRE VASSEUR;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
3;1;5;TOULOUSE;RUE;ANDRE VILLET;1;;9999;;PI;LPO BELLEVUE - TOULOUSE
3;1;6;TOULOUSE;IMPASSE;ANDREE GEANT;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;7;TOULOUSE;ALLEE;ANGELIQUE D'HANNETAIRE;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;8;TOULOUSE;AVENUE;ANGLA;1;;9999;;PI;LGT STEPHANE HESSEL - TOULOUSE
3;1;9;TOULOUSE;ESPACE;ANNA DE NOAILLES;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;10;TOULOUSE;RUE;ANNA POLITKOVSKAIA;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
3;1;11;TOULOUSE;RUE;ANNE - JOSEPHE THEROIGNE DE MERICOURT;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;12;TOULOUSE;RUE;ANNE FRANK;1;;9999;;PI;LGT DES ARENES - TOULOUSE
3;1;13;TOULOUSE;RUE;ANNE GUIBAL CAMMAS;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
